"x1","x2","x3","x4","x5","x6","x7","class"
0.67,0.55,0.19,1.39,0.54,0.3,0.4,11
0.66,0.53,0.2,1.39,0.57,0.27,0.41,12
0.68,0.55,0.21,1.74,0.6,0.31,0.63,16
0.68,0.56,0.2,1.44,0.55,0.27,0.47,20
0.53,0.44,0.14,0.78,0.31,0.17,0.22,8
0.52,0.41,0.12,0.65,0.29,0.14,0.18,9
0.43,0.34,0.12,0.36,0.15,0.06,0.1,8
0.52,0.41,0.12,0.63,0.26,0.14,0.18,10
0.55,0.42,0.16,0.77,0.27,0.15,0.28,9
0.53,0.42,0.18,0.74,0.26,0.14,0.26,16
0.47,0.35,0.12,0.42,0.16,0.09,0.13,8
0.67,0.54,0.18,1.35,0.5,0.25,0.42,16
0.74,0.59,0.23,1.76,0.64,0.34,0.58,20
0.66,0.55,0.19,1.32,0.53,0.26,0.46,15
0.7,0.59,0.19,1.81,0.71,0.32,0.48,27
0.58,0.4,0.16,0.93,0.36,0.24,0.3,16
0.57,0.47,0.13,0.85,0.38,0.18,0.24,14
0.58,0.46,0.15,1,0.43,0.21,0.26,18
0.63,0.48,0.15,1.01,0.42,0.24,0.31,11
0.59,0.47,0.14,0.91,0.38,0.16,0.32,12
0.55,0.45,0.13,0.92,0.38,0.24,0.29,10
0.63,0.52,0.15,1.24,0.52,0.31,0.36,14
0.54,0.42,0.14,0.81,0.35,0.18,0.24,10
0.57,0.46,0.17,1.06,0.44,0.22,0.29,13
0.59,0.46,0.15,1.07,0.48,0.19,0.29,13
0.58,0.46,0.13,0.92,0.36,0.18,0.29,12
0.66,0.51,0.16,1.29,0.53,0.29,0.41,10
0.66,0.53,0.18,1.26,0.49,0.26,0.42,14
0.63,0.5,0.2,1.37,0.59,0.22,0.37,16
0.63,0.5,0.15,0.95,0.34,0.22,0.31,14
0.64,0.52,0.18,1.25,0.42,0.26,0.48,11
0.61,0.49,0.17,1.01,0.44,0.21,0.3,18
0.62,0.53,0.16,1.04,0.43,0.23,0.35,10
0.56,0.45,0.18,0.87,0.33,0.2,0.31,9
0.58,0.44,0.18,0.85,0.37,0.16,0.25,11
0.62,0.52,0.23,1.18,0.38,0.27,0.4,22
0.62,0.47,0.23,1.12,0.38,0.21,0.36,14
0.6,0.51,0.19,1.13,0.44,0.26,0.36,12
0.63,0.49,0.19,1.17,0.44,0.23,0.42,16
0.6,0.47,0.18,1.11,0.49,0.25,0.32,14
0.56,0.46,0.24,0.84,0.33,0.16,0.31,11
0.59,0.46,0.23,1.06,0.38,0.22,0.37,14
0.56,0.44,0.18,0.89,0.36,0.2,0.25,10
0.56,0.45,0.16,0.87,0.3,0.21,0.28,15
0.68,0.53,0.19,1.11,0.44,0.25,0.34,9
0.46,0.35,0.14,0.52,0.22,0.13,0.14,9
0.49,0.38,0.15,0.67,0.25,0.18,0.21,9
0.31,0.22,0.09,0.15,0.06,0.04,0.05,5
0.28,0.2,0.07,0.08,0.03,0.02,0.03,4
0.27,0.2,0.08,0.1,0.04,0.02,0.03,5
0.4,0.29,0.12,0.28,0.11,0.06,0.08,8
0.28,0.2,0.08,0.09,0.03,0.02,0.03,4
0.33,0.23,0.09,0.15,0.06,0.03,0.05,3
0.35,0.25,0.09,0.2,0.08,0.06,0.06,5
0.21,0.15,0.05,0.04,0.02,0.01,0.01,2
0.36,0.27,0.09,0.19,0.08,0.04,0.06,4
0.37,0.26,0.12,0.22,0.09,0.04,0.07,8
0.2,0.14,0.06,0.04,0.01,0.01,0.01,4
0.24,0.16,0.06,0.05,0.03,0.01,0.02,3
0.18,0.13,0.04,0.02,0.01,0.01,0.01,3
0.16,0.11,0.04,0.02,0.01,0,0.01,2
0.57,0.45,0.16,0.73,0.28,0.16,0.24,13
0.57,0.45,0.16,0.97,0.4,0.26,0.26,11
0.39,0.3,0.1,0.24,0.09,0.06,0.09,8
0.53,0.42,0.19,0.75,0.3,0.16,0.21,19
0.46,0.36,0.13,0.46,0.19,0.11,0.13,12
0.47,0.37,0.12,0.47,0.18,0.11,0.16,11
0.44,0.34,0.11,0.38,0.17,0.09,0.11,8
0.47,0.37,0.14,0.5,0.21,0.12,0.15,9
0.47,0.38,0.13,0.45,0.19,0.08,0.16,10
0.52,0.41,0.14,0.58,0.2,0.15,0.18,10
0.29,0.23,0.08,0.12,0.04,0.03,0.04,6
0.28,0.21,0.07,0.09,0.03,0.02,0.03,4
0.38,0.29,0.12,0.27,0.09,0.07,0.09,9
0.5,0.38,0.14,0.6,0.24,0.14,0.18,14
0.44,0.36,0.12,0.42,0.16,0.09,0.13,10
0.42,0.33,0.12,0.29,0.1,0.06,0.11,14
0.45,0.35,0.12,0.36,0.16,0.07,0.12,7
0.38,0.29,0.11,0.26,0.1,0.05,0.09,9
0.32,0.25,0.08,0.16,0.06,0.04,0.05,10
0.26,0.2,0.07,0.08,0.03,0.02,0.03,7
0.21,0.16,0.05,0.04,0.02,0.01,0.02,6
0.57,0.45,0.16,0.8,0.36,0.16,0.23,11
0.56,0.43,0.18,0.88,0.37,0.2,0.26,10
0.65,0.52,0.16,1.16,0.5,0.2,0.33,16
0.62,0.49,0.16,0.99,0.41,0.2,0.35,12
0.56,0.44,0.17,0.8,0.34,0.17,0.25,11
0.48,0.37,0.12,0.51,0.21,0.13,0.16,12
0.49,0.39,0.13,0.59,0.29,0.14,0.12,8
0.5,0.39,0.15,0.63,0.26,0.17,0.16,9
0.53,0.41,0.15,0.8,0.31,0.21,0.26,13
0.66,0.5,0.17,1.19,0.46,0.3,0.37,11
0.66,0.53,0.17,1.33,0.52,0.26,0.44,12
0.52,0.4,0.15,0.66,0.27,0.11,0.22,12
0.44,0.34,0.11,0.36,0.15,0.08,0.12,7
0.52,0.4,0.12,0.66,0.27,0.18,0.17,12
0.48,0.35,0.12,0.45,0.17,0.09,0.16,10
0.55,0.42,0.15,0.73,0.28,0.16,0.22,10
0.47,0.36,0.13,0.55,0.2,0.13,0.19,13
0.35,0.26,0.07,0.18,0.07,0.04,0.06,9
0.49,0.36,0.13,0.58,0.25,0.13,0.17,11
0.44,0.33,0.13,0.41,0.17,0.11,0.1,11
0.28,0.21,0.08,0.11,0.04,0.03,0.03,6
0.41,0.32,0.12,0.39,0.17,0.1,0.1,10
0.45,0.35,0.14,0.47,0.21,0.11,0.13,15
0.45,0.35,0.14,0.44,0.2,0.09,0.12,13
0.59,0.46,0.16,1.07,0.38,0.23,0.42,19
0.57,0.44,0.14,0.95,0.38,0.2,0.31,16
0.61,0.48,0.15,0.97,0.41,0.2,0.35,9
0.61,0.48,0.14,1.13,0.53,0.24,0.35,10
0.56,0.43,0.14,0.92,0.4,0.2,0.26,9
0.59,0.44,0.18,0.98,0.41,0.25,0.27,9
0.58,0.45,0.15,0.89,0.38,0.21,0.26,10
0.63,0.48,0.18,1.37,0.5,0.3,0.52,16
0.63,0.49,0.18,1.23,0.56,0.25,0.37,10
0.55,0.43,0.15,0.81,0.38,0.17,0.25,13
0.65,0.53,0.19,1.46,0.66,0.34,0.44,18
0.46,0.36,0.14,0.49,0.22,0.13,0.12,12
0.41,0.31,0.1,0.36,0.17,0.07,0.11,10
0.5,0.39,0.13,0.67,0.28,0.16,0.2,10
0.52,0.43,0.17,0.68,0.28,0.17,0.2,9
0.55,0.41,0.15,0.83,0.31,0.19,0.25,12
0.45,0.34,0.14,0.46,0.16,0.08,0.15,13
0.41,0.31,0.12,0.31,0.14,0.06,0.1,12
0.51,0.4,0.15,0.75,0.29,0.17,0.24,12
0.37,0.29,0.12,0.25,0.11,0.06,0.08,8
0.53,0.41,0.18,0.87,0.36,0.21,0.21,17
0.66,0.52,0.18,1.51,0.53,0.3,0.42,18
0.54,0.42,0.15,0.7,0.26,0.15,0.24,11
0.58,0.46,0.18,0.85,0.3,0.18,0.3,12
0.55,0.43,0.14,0.71,0.26,0.19,0.23,8
0.61,0.47,0.14,0.94,0.34,0.2,0.32,12
0.61,0.5,0.15,1.05,0.37,0.23,0.36,11
0.56,0.45,0.2,0.98,0.31,0.22,0.34,15
0.54,0.42,0.15,0.93,0.4,0.2,0.25,16
0.39,0.32,0.11,0.29,0.12,0.06,0.08,9
0.39,0.3,0.1,0.27,0.11,0.06,0.09,12
0.47,0.35,0.12,0.49,0.2,0.11,0.17,10
0.52,0.39,0.14,0.56,0.2,0.11,0.22,11
0.43,0.35,0.13,0.43,0.16,0.08,0.15,12
0.35,0.27,0.09,0.2,0.08,0.05,0.06,8
0.49,0.37,0.13,0.46,0.18,0.11,0.14,9
0.37,0.29,0.1,0.23,0.07,0.07,0.08,9
0.35,0.27,0.09,0.18,0.06,0.04,0.07,11
0.44,0.35,0.17,0.41,0.15,0.08,0.15,11
0.2,0.15,0.05,0.03,0.01,0.01,0.01,3
0.33,0.24,0.08,0.16,0.05,0.04,0.06,8
0.5,0.37,0.13,0.48,0.19,0.07,0.17,17
0.45,0.35,0.15,0.53,0.21,0.1,0.17,14
0.42,0.35,0.14,0.39,0.13,0.07,0.15,12
0.47,0.36,0.14,0.43,0.15,0.1,0.15,11
0.32,0.24,0.09,0.17,0.07,0.05,0.05,6
0.31,0.23,0.08,0.13,0.05,0.03,0.04,8
0.24,0.17,0.06,0.05,0.02,0.01,0.02,6
0.35,0.26,0.08,0.17,0.06,0.04,0.05,9
0.49,0.38,0.14,0.67,0.22,0.13,0.2,17
0.5,0.39,0.12,0.68,0.29,0.14,0.2,11
0.5,0.39,0.11,0.5,0.18,0.11,0.17,16
0.47,0.36,0.11,0.5,0.21,0.12,0.14,14
0.53,0.41,0.16,0.66,0.27,0.11,0.23,11
0.43,0.34,0.1,0.32,0.12,0.06,0.13,9
0.38,0.31,0.1,0.28,0.13,0.05,0.09,7
0.53,0.42,0.15,0.94,0.38,0.19,0.27,20
0.34,0.27,0.09,0.18,0.08,0.05,0.07,9
0.48,0.37,0.12,0.49,0.22,0.12,0.13,8
0.43,0.34,0.12,0.39,0.16,0.1,0.14,6
0.46,0.37,0.13,0.47,0.19,0.09,0.16,9
0.47,0.36,0.13,0.52,0.2,0.11,0.17,8
0.36,0.3,0.1,0.21,0.07,0.05,0.08,8
0.36,0.27,0.09,0.17,0.05,0.04,0.06,7
0.38,0.24,0.1,0.26,0.11,0.05,0.08,6
0.36,0.26,0.09,0.19,0.08,0.05,0.06,5
0.44,0.35,0.12,0.49,0.2,0.11,0.16,13
0.51,0.4,0.13,0.57,0.22,0.14,0.2,12
0.33,0.24,0.09,0.17,0.08,0.04,0.05,6
0.62,0.49,0.18,1.18,0.47,0.27,0.39,12
0.59,0.45,0.16,0.9,0.36,0.16,0.32,18
0.33,0.26,0.1,0.19,0.07,0.05,0.06,6
0.45,0.34,0.13,0.37,0.16,0.08,0.11,8
0.45,0.33,0.12,0.35,0.12,0.08,0.11,10
0.33,0.22,0.08,0.11,0.05,0.03,0.04,5
0.48,0.38,0.15,0.78,0.22,0.13,0.17,8
0.46,0.35,0.12,0.49,0.19,0.11,0.16,10
0.48,0.36,0.13,0.45,0.17,0.08,0.14,8
0.26,0.18,0.07,0.08,0.03,0.01,0.03,4
0.34,0.25,0.09,0.17,0.06,0.04,0.06,5
0.47,0.35,0.13,0.47,0.18,0.1,0.15,10
0.31,0.23,0.08,0.13,0.05,0.02,0.05,6
0.37,0.28,0.11,0.23,0.09,0.05,0.08,9
0.3,0.22,0.08,0.13,0.05,0.03,0.04,6
0.56,0.44,0.17,0.97,0.34,0.23,0.3,16
0.62,0.52,0.17,1.14,0.43,0.22,0.42,15
0.58,0.49,0.2,1.32,0.53,0.25,0.41,17
0.59,0.48,0.19,0.96,0.41,0.16,0.33,10
0.65,0.53,0.18,1.63,0.6,0.34,0.53,17
0.54,0.45,0.17,0.78,0.31,0.16,0.3,10
0.42,0.34,0.13,0.37,0.15,0.09,0.12,9
0.38,0.31,0.11,0.28,0.1,0.06,0.09,11
0.45,0.36,0.12,0.41,0.11,0.07,0.16,18
0.4,0.3,0.1,0.22,0.08,0.05,0.08,9
0.46,0.35,0.12,0.48,0.18,0.14,0.16,10
0.49,0.38,0.15,0.61,0.22,0.14,0.18,14
0.55,0.43,0.16,0.92,0.28,0.24,0.34,12
0.45,0.35,0.15,0.54,0.18,0.12,0.18,12
0.48,0.39,0.15,0.62,0.24,0.11,0.22,13
0.5,0.38,0.16,0.66,0.24,0.14,0.21,16
0.53,0.41,0.17,0.81,0.24,0.17,0.24,18
0.49,0.39,0.15,0.57,0.23,0.12,0.17,20
0.49,0.39,0.15,0.79,0.24,0.14,0.24,22
0.52,0.4,0.18,0.64,0.16,0.11,0.25,21
0.54,0.42,0.15,0.74,0.26,0.17,0.25,11
0.5,0.38,0.12,0.59,0.19,0.15,0.19,10
0.45,0.38,0.17,0.82,0.25,0.19,0.27,22
0.37,0.28,0.1,0.22,0.09,0.03,0.08,7
0.37,0.28,0.1,0.23,0.09,0.05,0.07,6
0.49,0.37,0.14,0.57,0.2,0.14,0.18,9
0.44,0.33,0.12,0.39,0.15,0.09,0.12,6
0.54,0.41,0.19,0.83,0.32,0.17,0.29,15
0.51,0.4,0.14,0.65,0.25,0.17,0.19,9
0.57,0.44,0.19,0.91,0.34,0.23,0.26,14
0.54,0.4,0.15,0.8,0.33,0.21,0.21,12
0.54,0.41,0.13,0.93,0.26,0.14,0.35,15
0.53,0.4,0.17,0.73,0.28,0.21,0.2,10
0.59,0.44,0.15,0.96,0.37,0.24,0.3,10
0.5,0.38,0.15,0.64,0.25,0.15,0.19,9
0.26,0.19,0.08,0.09,0.03,0.02,0.03,4
0.43,0.33,0.12,0.39,0.15,0.11,0.11,10
0.38,0.29,0.12,0.28,0.12,0.07,0.09,8
0.17,0.11,0.02,0.02,0.01,0,0.01,3
0.32,0.23,0.09,0.13,0.04,0.04,0.04,6
0.16,0.11,0.05,0.02,0.01,0,0.01,3
0.28,0.21,0.1,0.12,0.05,0.03,0.03,4
0.43,0.34,0.12,0.44,0.16,0.11,0.14,12
0.4,0.32,0.11,0.35,0.12,0.09,0.12,15
0.39,0.29,0.11,0.29,0.12,0.07,0.09,11
0.48,0.39,0.14,0.54,0.19,0.14,0.17,13
0.45,0.33,0.11,0.45,0.18,0.1,0.12,8
0.4,0.3,0.12,0.32,0.12,0.06,0.11,11
0.4,0.3,0.13,0.42,0.19,0.09,0.12,8
0.42,0.33,0.14,0.42,0.15,0.1,0.14,9
0.32,0.25,0.09,0.2,0.06,0.04,0.08,10
0.35,0.26,0.09,0.21,0.08,0.04,0.08,9
0.36,0.3,0.13,0.28,0.09,0.06,0.1,9
0.3,0.23,0.09,0.11,0.04,0.02,0.03,6
0.33,0.25,0.08,0.18,0.06,0.04,0.06,6
0.38,0.3,0.1,0.25,0.1,0.05,0.08,10
0.28,0.21,0.06,0.11,0.05,0.03,0.03,6
0.36,0.27,0.09,0.2,0.07,0.05,0.07,7
0.35,0.26,0.08,0.19,0.08,0.04,0.06,8
0.28,0.2,0.07,0.1,0.05,0.02,0.03,6
0.29,0.21,0.07,0.1,0.04,0.02,0.04,7
0.25,0.19,0.06,0.08,0.04,0.01,0.02,5
0.18,0.13,0.04,0.03,0.01,0.01,0.01,3
0.15,0.1,0.03,0.02,0,0,0.01,1
0.16,0.11,0.03,0.02,0.01,0.01,0.01,2
0.56,0.46,0.16,1.06,0.39,0.23,0.29,12
0.56,0.44,0.15,1.09,0.42,0.21,0.44,14
0.53,0.41,0.13,0.99,0.39,0.24,0.3,14
0.47,0.36,0.08,0.49,0.19,0.13,0.16,10
0.49,0.36,0.11,0.5,0.16,0.11,0.2,16
0.4,0.31,0.09,0.3,0.11,0.07,0.1,9
0.48,0.38,0.11,0.53,0.22,0.12,0.16,11
0.51,0.4,0.13,0.77,0.27,0.16,0.26,12
0.52,0.4,0.12,0.65,0.26,0.2,0.17,14
0.53,0.4,0.13,0.83,0.24,0.18,0.28,10
0.55,0.42,0.13,0.88,0.37,0.17,0.23,12
0.52,0.4,0.12,0.82,0.3,0.18,0.27,14
0.51,0.38,0.13,0.66,0.23,0.18,0.22,12
0.53,0.43,0.12,0.87,0.28,0.18,0.29,17
0.51,0.39,0.13,0.66,0.26,0.18,0.18,9
0.52,0.39,0.12,0.67,0.24,0.17,0.21,11
0.52,0.41,0.13,0.64,0.24,0.17,0.21,11
0.54,0.41,0.14,0.86,0.29,0.15,0.32,13
0.45,0.35,0.09,0.38,0.14,0.07,0.13,9
0.53,0.44,0.21,0.84,0.32,0.22,0.25,13
0.36,0.27,0.09,0.21,0.08,0.06,0.06,7
0.54,0.42,0.15,0.74,0.28,0.19,0.22,13
0.52,0.41,0.14,0.82,0.28,0.18,0.26,16
0.53,0.42,0.13,0.84,0.28,0.19,0.27,19
0.53,0.42,0.13,1,0.34,0.23,0.27,16
0.66,0.52,0.2,1.68,0.67,0.48,0.45,16
0.52,0.39,0.14,0.66,0.25,0.2,0.16,8
0.54,0.42,0.13,0.81,0.3,0.18,0.28,13
0.7,0.52,0.18,1.52,0.58,0.41,0.39,14
0.51,0.39,0.11,0.61,0.19,0.15,0.2,12
0.49,0.36,0.12,0.55,0.22,0.16,0.14,9
0.61,0.46,0.17,1.12,0.35,0.3,0.32,12
0.58,0.46,0.17,1.14,0.37,0.3,0.28,12
0.65,0.52,0.18,1.48,0.53,0.27,0.53,19
0.62,0.51,0.19,1.53,0.69,0.37,0.35,12
0.62,0.53,0.16,1.14,0.37,0.24,0.37,19
0.61,0.5,0.19,1.44,0.47,0.27,0.41,14
0.57,0.44,0.16,1.12,0.48,0.23,0.27,12
0.57,0.43,0.12,1.06,0.35,0.17,0.31,14
0.59,0.41,0.15,1.26,0.44,0.2,0.33,14
0.55,0.44,0.16,0.95,0.31,0.18,0.34,15
0.54,0.44,0.14,0.96,0.24,0.22,0.3,16
0.64,0.51,0.19,1.61,0.62,0.36,0.47,13
0.61,0.47,0.15,1.15,0.4,0.3,0.32,13
0.55,0.45,0.15,0.98,0.34,0.19,0.3,10
0.59,0.45,0.13,1.13,0.38,0.23,0.32,12
0.35,0.27,0.1,0.2,0.07,0.05,0.07,8
0.55,0.43,0.16,0.79,0.29,0.23,0.23,10
0.53,0.43,0.17,0.95,0.35,0.24,0.28,16
0.53,0.46,0.17,0.98,0.32,0.28,0.3,10
0.49,0.38,0.14,0.52,0.2,0.12,0.17,7
0.39,0.28,0.12,0.27,0.1,0.08,0.09,7
0.46,0.34,0.14,0.46,0.17,0.16,0.12,8
0.49,0.38,0.14,0.76,0.25,0.17,0.19,9
0.53,0.41,0.17,0.73,0.19,0.17,0.31,10
0.51,0.39,0.15,0.68,0.24,0.18,0.2,14
0.49,0.38,0.14,0.64,0.23,0.14,0.2,12
0.47,0.35,0.14,0.58,0.2,0.15,0.19,14
0.47,0.36,0.15,0.54,0.17,0.14,0.2,14
0.56,0.41,0.17,0.93,0.35,0.24,0.3,12
0.51,0.39,0.15,0.64,0.25,0.15,0.22,11
0.52,0.44,0.15,0.88,0.29,0.21,0.26,9
0.39,0.28,0.13,0.24,0.1,0.04,0.09,5
0.22,0.16,0.06,0.05,0.02,0.02,0.02,4
0.55,0.42,0.18,1.04,0.33,0.23,0.29,14
0.52,0.39,0.13,0.58,0.2,0.13,0.18,8
0.5,0.39,0.14,0.71,0.21,0.14,0.26,11
0.51,0.39,0.16,0.64,0.25,0.2,0.16,8
0.6,0.47,0.17,0.89,0.31,0.25,0.26,11
0.57,0.47,0.16,0.89,0.31,0.26,0.26,9
0.49,0.38,0.14,0.56,0.19,0.13,0.17,9
0.47,0.37,0.18,0.51,0.19,0.13,0.16,8
0.58,0.45,0.17,0.92,0.33,0.23,0.26,11
0.58,0.47,0.16,1.03,0.32,0.26,0.36,11
0.52,0.41,0.15,0.7,0.22,0.16,0.23,14
0.53,0.41,0.16,0.72,0.28,0.17,0.21,10
0.44,0.34,0.11,0.39,0.16,0.1,0.12,8
0.52,0.42,0.16,0.75,0.26,0.16,0.29,10
0.43,0.35,0.11,0.37,0.13,0.08,0.12,10
0.46,0.34,0.14,0.5,0.17,0.12,0.19,9
0.45,0.34,0.13,0.35,0.12,0.11,0.12,9
0.43,0.33,0.13,0.44,0.15,0.09,0.16,8
0.37,0.28,0.1,0.22,0.09,0.05,0.07,6
0.52,0.38,0.14,0.66,0.29,0.21,0.16,9
0.41,0.31,0.12,0.32,0.12,0.09,0.1,6
0.28,0.21,0.07,0.1,0.04,0.03,0.03,5
0.48,0.4,0.13,0.76,0.21,0.18,0.24,14
0.44,0.34,0.13,0.42,0.15,0.12,0.13,9
0.52,0.41,0.12,0.81,0.29,0.18,0.24,11
0.51,0.41,0.14,0.88,0.27,0.17,0.29,11
0.49,0.37,0.13,0.68,0.17,0.13,0.21,20
0.24,0.18,0.06,0.07,0.03,0.01,0.02,5
0.26,0.19,0.06,0.09,0.04,0.02,0.02,4
0.32,0.24,0.09,0.17,0.07,0.03,0.05,6
0.33,0.25,0.08,0.17,0.08,0.03,0.05,6
0.34,0.25,0.08,0.18,0.07,0.04,0.06,5
0.35,0.27,0.09,0.21,0.08,0.06,0.06,5
0.35,0.25,0.07,0.18,0.07,0.05,0.05,5
0.36,0.3,0.09,0.27,0.12,0.06,0.07,6
0.37,0.28,0.14,0.24,0.11,0.04,0.07,6
0.37,0.28,0.14,0.22,0.1,0.05,0.06,5
0.38,0.28,0.1,0.14,0.09,0.06,0.06,6
0.39,0.29,0.1,0.31,0.14,0.06,0.09,5
0.39,0.3,0.1,0.29,0.12,0.06,0.09,6
0.4,0.29,0.1,0.32,0.14,0.08,0.08,6
0.4,0.29,0.1,0.3,0.13,0.08,0.08,5
0.4,0.31,0.1,0.31,0.13,0.06,0.09,5
0.41,0.33,0.1,0.39,0.21,0.07,0.11,5
0.42,0.32,0.11,0.37,0.18,0.08,0.11,6
0.42,0.31,0.1,0.33,0.16,0.05,0.09,5
0.43,0.33,0.1,0.4,0.12,0.06,0.09,5
0.44,0.37,0.12,0.5,0.24,0.08,0.15,8
0.45,0.34,0.1,0.49,0.27,0.09,0.11,6
0.45,0.33,0.1,0.38,0.18,0.1,0.09,6
0.45,0.35,0.13,0.55,0.25,0.14,0.14,7
0.47,0.38,0.12,0.58,0.27,0.09,0.17,7
0.48,0.37,0.13,0.55,0.23,0.12,0.17,8
0.48,0.37,0.14,0.64,0.29,0.11,0.18,7
0.49,0.36,0.11,0.5,0.22,0.1,0.15,8
0.49,0.39,0.13,0.61,0.31,0.1,0.18,7
0.5,0.41,0.13,0.76,0.34,0.13,0.21,8
0.5,0.4,0.13,0.6,0.27,0.13,0.17,8
0.51,0.44,0.14,0.83,0.34,0.19,0.24,7
0.53,0.4,0.13,0.76,0.34,0.14,0.23,7
0.54,0.41,0.13,0.89,0.48,0.19,0.2,8
0.54,0.42,0.14,0.81,0.37,0.17,0.21,10
0.55,0.44,0.14,0.92,0.43,0.2,0.24,9
0.55,0.43,0.13,0.92,0.4,0.18,0.28,7
0.55,0.45,0.15,1.01,0.41,0.2,0.29,9
0.55,0.45,0.15,0.88,0.36,0.18,0.28,9
0.56,0.44,0.15,0.97,0.5,0.17,0.24,8
0.57,0.45,0.16,1.06,0.47,0.24,0.27,9
0.57,0.46,0.15,0.95,0.39,0.22,0.27,8
0.57,0.44,0.13,0.75,0.35,0.18,0.19,9
0.58,0.47,0.14,0.96,0.44,0.18,0.27,8
0.59,0.48,0.17,1.08,0.45,0.24,0.31,8
0.59,0.46,0.13,1.1,0.46,0.21,0.33,11
0.6,0.48,0.15,1.11,0.5,0.23,0.33,9
0.6,0.48,0.16,1.21,0.52,0.3,0.32,7
0.6,0.48,0.16,1.14,0.55,0.23,0.27,5
0.6,0.47,0.14,1.11,0.52,0.24,0.31,11
0.6,0.48,0.18,1.34,0.55,0.29,0.36,10
0.6,0.48,0.16,1.21,0.65,0.17,0.32,9
0.6,0.5,0.18,1.29,0.61,0.28,0.34,10
0.61,0.48,0.18,1.38,0.61,0.23,0.4,9
0.61,0.46,0.16,1.1,0.42,0.3,0.33,8
0.62,0.5,0.18,1.38,0.56,0.33,0.29,11
0.62,0.52,0.15,1.34,0.63,0.26,0.35,9
0.62,0.51,0.15,1.3,0.55,0.33,0.32,8
0.62,0.51,0.17,1.34,0.53,0.28,0.41,11
0.62,0.51,0.16,1.37,0.63,0.28,0.37,10
0.62,0.5,0.17,1.31,0.64,0.25,0.32,8
0.63,0.49,0.16,1.21,0.47,0.16,0.41,10
0.63,0.49,0.2,1.38,0.59,0.29,0.38,10
0.63,0.51,0.17,1.26,0.45,0.28,0.41,13
0.64,0.51,0.17,1.36,0.62,0.31,0.39,8
0.64,0.5,0.15,1.38,0.65,0.36,0.31,9
0.64,0.49,0.17,1.29,0.67,0.26,0.27,8
0.64,0.51,0.17,1.49,0.76,0.33,0.32,7
0.65,0.53,0.18,1.47,0.68,0.32,0.4,10
0.66,0.52,0.17,1.41,0.59,0.29,0.41,8
0.66,0.58,0.21,2.08,0.96,0.34,0.6,16
0.66,0.53,0.17,1.39,0.59,0.21,0.45,14
0.66,0.52,0.19,1.56,0.76,0.3,0.4,9
0.67,0.59,0.16,1.31,0.54,0.29,0.41,9
0.68,0.53,0.17,1.81,0.78,0.39,0.46,11
0.68,0.53,0.16,1.48,0.63,0.34,0.42,8
0.68,0.56,0.2,1.78,0.86,0.32,0.42,10
0.69,0.54,0.16,1.67,0.83,0.38,0.48,10
0.7,0.56,0.22,1.83,0.85,0.42,0.46,10
0.73,0.6,0.23,2.83,1.15,0.42,0.9,16
0.21,0.14,0.05,0.05,0.02,0.01,0.01,5
0.24,0.18,0.07,0.07,0.03,0.01,0.02,2
0.26,0.19,0.05,0.08,0.03,0.02,0.03,5
0.26,0.18,0.06,0.08,0.03,0.02,0.02,3
0.27,0.2,0.06,0.09,0.03,0.03,0.02,5
0.28,0.12,0.08,0.12,0.05,0.03,0.03,3
0.3,0.23,0.08,0.16,0.07,0.05,0.04,4
0.3,0.24,0.08,0.13,0.05,0.03,0.04,3
0.3,0.23,0.1,0.14,0.06,0.04,0.04,5
0.31,0.22,0.07,0.14,0.06,0.03,0.04,4
0.32,0.24,0.08,0.15,0.06,0.04,0.04,5
0.32,0.23,0.07,0.14,0.05,0.03,0.04,7
0.32,0.24,0.09,0.16,0.07,0.03,0.04,4
0.33,0.24,0.08,0.19,0.08,0.04,0.05,5
0.33,0.27,0.09,0.2,0.08,0.03,0.04,5
0.34,0.25,0.08,0.19,0.09,0.04,0.04,6
0.34,0.25,0.08,0.18,0.07,0.05,0.05,4
0.34,0.25,0.07,0.22,0.1,0.04,0.06,6
0.35,0.27,0.1,0.25,0.11,0.05,0.07,6
0.37,0.29,0.1,0.25,0.1,0.06,0.07,5
0.37,0.28,0.1,0.29,0.15,0.07,0.08,6
0.38,0.28,0.09,0.22,0.08,0.06,0.06,5
0.39,0.27,0.08,0.25,0.12,0.04,0.07,5
0.41,0.31,0.09,0.34,0.16,0.07,0.09,6
0.41,0.31,0.09,0.35,0.16,0.07,0.1,6
0.41,0.31,0.09,0.33,0.16,0.06,0.09,5
0.42,0.33,0.09,0.36,0.17,0.08,0.09,5
0.42,0.32,0.12,0.38,0.17,0.09,0.1,4
0.42,0.32,0.1,0.34,0.16,0.08,0.09,5
0.43,0.34,0.1,0.38,0.16,0.1,0.1,5
0.43,0.32,0.1,0.38,0.16,0.07,0.11,5
0.43,0.33,0.1,0.36,0.16,0.08,0.11,6
0.43,0.33,0.09,0.43,0.22,0.09,0.1,6
0.44,0.33,0.12,0.4,0.18,0.06,0.11,7
0.44,0.34,0.12,0.39,0.18,0.08,0.11,5
0.44,0.35,0.13,0.45,0.21,0.08,0.13,5
0.44,0.33,0.09,0.35,0.15,0.07,0.11,6
0.45,0.34,0.11,0.44,0.2,0.11,0.12,5
0.45,0.35,0.13,0.42,0.17,0.09,0.12,6
0.45,0.36,0.13,0.48,0.19,0.13,0.14,6
