"height","lengthe","area","eccen","p_black","p_and","mean_tr","blackpix","blackand","wb_trans","class"
8,272,2176,34,0.19,0.54,1.35,404,1172,299,0
11,271,2981,24.64,0.18,0.59,1.49,527,1752,353,0
7,213,1491,30.43,0.2,0.73,1.25,296,1093,237,0
11,272,2992,24.73,0.17,0.6,1.43,504,1781,352,0
8,34,272,4.25,0.31,0.91,1.5,84,247,56,0
8,7,56,0.88,0.39,0.95,2,22,53,11,0
10,15,150,1.5,0.25,0.72,1.61,37,108,23,0
8,21,168,2.63,0.28,0.92,1.38,47,155,34,0
8,28,224,3.5,0.3,0.97,1.6,67,217,42,0
10,60,600,6,0.2,0.6,1.44,122,357,85,0
7,12,84,1.71,0.37,0.86,1.55,31,72,20,0
7,6,42,0.86,0.21,0.29,9,9,12,1,0
7,7,49,1,0.37,1,1.38,18,49,13,0
6,17,102,2.83,0.34,0.87,1.3,35,89,27,0
8,54,432,6.75,0.25,0.75,1.29,106,322,82,0
10,179,1790,17.9,0.2,0.76,1.41,358,1356,254,0
8,25,200,3.13,0.33,1,1.65,66,200,40,0
10,271,2710,27.1,0.2,0.75,1.38,533,2027,386,0
10,271,2710,27.1,0.19,0.67,1.31,509,1803,388,0
10,272,2720,27.2,0.19,0.65,1.38,508,1765,368,0
10,271,2710,27.1,0.2,0.72,1.42,540,1942,381,0
11,271,2981,24.64,0.2,0.63,1.52,591,1872,388,0
10,272,2720,27.2,0.21,0.77,1.43,573,2101,401,0
10,272,2720,27.2,0.21,0.79,1.4,559,2139,399,0
7,10,70,1.43,0.29,0.89,1.82,20,62,11,0
6,9,54,1.5,0.35,0.87,1.58,19,47,12,0
8,10,80,1.25,0.31,0.68,1.92,25,54,13,0
4,9,36,2.25,0.42,1,1.67,15,36,9,0
8,25,200,3.13,0.28,0.83,1.6,56,165,35,0
8,37,296,4.63,0.33,0.99,1.29,99,294,77,0
10,51,510,5.1,0.22,0.84,1.29,112,429,87,0
10,100,1000,10,0.21,0.7,1.45,212,702,146,0
8,31,248,3.88,0.3,0.87,1.45,74,216,51,0
7,5,35,0.71,0.2,0.43,7,7,15,1,0
8,240,1920,30,0.19,0.64,1.4,370,1220,264,0
7,11,77,1.57,0.35,0.87,1.8,27,67,15,0
10,236,2360,23.6,0.18,0.57,1.31,432,1349,330,0
8,135,1080,16.88,0.08,0.29,1.54,83,317,54,0
8,272,2176,34,0.19,0.57,1.41,407,1236,288,0
8,62,496,7.75,0.22,0.63,1.57,108,312,69,0
7,38,266,5.43,0.31,0.79,1.55,82,210,53,0
8,272,2176,34,0.2,0.63,1.38,428,1369,310,0
10,261,2610,26.1,0.18,0.52,1.49,477,1343,321,0
8,271,2168,33.88,0.22,0.79,1.29,470,1704,364,0
8,245,1960,30.63,0.2,0.56,1.36,389,1088,286,0
10,272,2720,27.2,0.19,0.58,1.49,520,1571,348,0
11,272,2992,24.73,0.17,0.61,1.47,511,1824,348,0
10,271,2710,27.1,0.17,0.56,1.47,469,1510,318,0
8,108,864,13.5,0.24,0.62,1.41,203,534,144,0
10,125,1250,12.5,0.19,0.53,1.39,237,657,170,0
6,24,144,4,0.29,0.76,1.56,42,110,27,0
8,37,296,4.63,0.18,0.65,1.35,54,192,40,0
8,98,784,12.25,0.28,0.86,1.42,221,677,156,0
10,93,930,9.3,0.21,0.79,1.48,192,738,130,0
7,23,161,3.29,0.37,0.85,1.71,60,137,35,0
11,271,2981,24.64,0.16,0.54,1.36,483,1616,355,0
11,271,2981,24.64,0.18,0.67,1.39,525,2001,378,0
8,71,568,8.88,0.24,0.7,1.47,135,398,92,0
10,60,600,6,0.22,0.61,1.47,134,364,91,0
10,47,470,4.7,0.22,0.71,1.62,105,332,65,0
7,7,49,1,0.43,1,1.91,21,49,11,0
7,38,266,5.43,0.33,0.95,1.38,87,253,63,0
5,12,60,2.4,0.27,0.73,1.78,16,44,9,0
10,234,2340,23.4,0.19,0.61,1.38,441,1437,319,0
10,271,2710,27.1,0.19,0.6,1.35,508,1632,375,0
11,189,2079,17.18,0.17,0.61,1.41,361,1275,256,0
8,65,520,8.13,0.27,0.73,1.4,140,377,100,0
10,147,1470,14.7,0.17,0.55,1.29,247,809,191,0
11,271,2981,24.64,0.17,0.6,1.35,502,1784,371,0
8,261,2088,32.63,0.22,0.77,1.34,455,1615,340,0
10,271,2710,27.1,0.19,0.77,1.28,524,2084,409,0
10,173,1730,17.3,0.09,0.38,1.52,155,649,102,0
10,197,1970,19.7,0.14,0.59,1.25,284,1160,228,0
9,258,2322,28.67,0.17,0.58,1.28,401,1350,313,0
8,96,768,12,0.11,0.48,1.35,85,368,63,0
10,271,2710,27.1,0.18,0.57,1.39,476,1556,342,0
10,271,2710,27.1,0.19,0.69,1.37,522,1878,380,0
7,48,336,6.86,0.29,0.8,1.53,98,270,64,0
11,243,2673,22.09,0.12,0.34,1.41,314,914,223,0
8,88,704,11,0.2,0.76,1.49,137,532,92,0
8,78,624,9.75,0.24,0.75,1.35,152,465,113,0
9,175,1575,19.44,0.19,0.57,1.35,299,894,221,0
7,17,119,2.43,0.33,0.73,1.44,39,87,27,0
7,14,98,2,0.36,0.96,1.84,35,94,19,0
8,46,368,5.75,0.29,0.79,1.42,105,291,74,0
9,34,306,3.78,0.23,0.76,1.57,69,231,44,0
7,7,49,1,0.35,0.94,1.89,17,46,9,0
7,11,77,1.57,0.35,0.87,1.5,27,67,18,0
7,14,98,2,0.36,0.87,1.75,35,85,20,0
7,21,147,3,0.31,0.97,1.48,46,142,31,0
7,8,56,1.14,0.25,0.77,1.56,14,43,9,0
7,29,203,4.14,0.28,0.84,1.46,57,171,39,0
10,271,2710,27.1,0.17,0.61,1.29,454,1659,351,0
8,71,568,8.88,0.14,0.38,1.31,77,218,59,0
8,25,200,3.13,0.24,0.91,1.45,48,182,33,0
9,238,2142,26.44,0.17,0.61,1.26,359,1316,285,0
6,187,1122,31.17,0.19,0.59,1.26,211,663,168,0
6,17,102,2.83,0.25,0.6,1.56,25,61,16,0
6,15,90,2.5,0.28,0.74,1.92,25,67,13,0
10,215,2150,21.5,0.13,0.46,1.2,287,997,239,0
11,103,1133,9.36,0.16,0.58,1.44,177,653,123,0
8,263,2104,32.88,0.15,0.55,1.19,325,1156,274,0
8,15,120,1.88,0.3,0.64,1.57,36,77,23,0
8,26,208,3.25,0.26,0.62,1.45,55,129,38,0
2,7,14,3.5,0.5,0.93,3.5,7,13,2,0
7,7,49,1,0.29,0.63,1.56,14,31,9,0
7,30,210,4.29,0.3,0.88,1.77,62,184,35,0
7,18,126,2.57,0.31,0.96,1.39,39,121,28,0
8,29,232,3.63,0.21,0.65,1.6,48,151,30,0
6,20,120,3.33,0.18,0.79,1.5,21,95,14,0
5,18,90,3.6,0.38,0.96,1.62,34,86,21,0
5,8,40,1.6,0.43,1,1.89,17,40,9,0
5,7,35,1.4,0.4,0.66,2.33,14,23,6,0
5,12,60,2.4,0.38,0.88,1.92,23,53,12,0
8,126,1008,15.75,0.19,0.69,1.27,189,690,149,0
8,21,168,2.63,0.26,0.7,1.52,44,117,29,0
8,99,792,12.38,0.2,0.66,1.39,158,524,114,0
9,81,729,9,0.19,0.54,1.49,136,395,91,0
6,69,414,11.5,0.28,0.74,1.4,116,308,83,0
8,80,640,10,0.18,0.54,1.4,118,348,84,0
7,128,896,18.29,0.2,0.66,1.33,182,594,137,0
1,10,10,10,0.8,1,4,8,10,2,0
6,129,774,21.5,0.2,0.57,1.35,151,437,112,0
5,52,260,10.4,0.21,0.54,1.35,54,141,40,0
5,12,60,2.4,0.32,0.75,1.46,19,45,13,0
5,21,105,4.2,0.3,0.73,1.48,31,77,21,0
5,6,30,1.2,0.33,0.97,2.5,10,29,4,0
5,38,190,7.6,0.43,0.99,1.42,81,188,57,0
5,13,65,2.6,0.31,0.83,1.82,20,54,11,0
5,6,30,1.2,0.37,0.77,3.67,11,23,3,0
5,15,75,3,0.4,0.95,1.67,30,71,18,0
5,53,265,10.6,0.22,0.61,1.28,59,162,46,0
5,34,170,6.8,0.22,0.61,1.31,38,103,29,0
5,30,150,6,0.36,0.95,1.26,54,142,43,0
6,25,150,4.17,0.34,0.89,1.42,51,133,36,0
6,2,12,0.33,0.58,1,7,7,12,1,0
8,12,96,1.5,0.21,0.77,1.11,20,74,18,0
7,14,98,2,0.26,0.74,1.56,25,72,16,0
7,14,98,2,0.34,0.99,1.65,33,97,20,0
7,8,56,1.14,0.36,1,2.86,20,56,7,0
7,9,63,1.29,0.32,0.98,2.22,20,62,9,0
7,4,28,0.57,0.36,0.57,5,10,16,2,0
7,32,224,4.57,0.34,0.79,1.46,76,176,52,0
9,29,261,3.22,0.23,0.71,1.3,61,185,47,0
5,4,20,0.8,0.35,0.85,1.75,7,17,4,0
5,8,40,1.6,0.43,0.98,1.55,17,39,11,0
4,11,44,2.75,0.36,0.96,1.33,16,42,12,0
6,50,300,8.33,0.21,0.58,1.31,64,173,49,0
6,28,168,4.67,0.15,0.38,1.47,25,63,17,0
5,43,215,8.6,0.23,0.8,1.35,50,172,37,0
5,75,375,15,0.26,0.87,1.18,97,325,82,0
4,18,72,4.5,0.33,0.67,1.71,24,48,14,0
9,16,144,1.78,0.22,0.48,1.33,32,69,24,0
10,79,790,7.9,0.16,0.42,1.25,129,332,103,0
9,158,1422,17.56,0.22,0.54,1.45,308,761,212,0
4,6,24,1.5,0.33,0.79,2,8,19,4,0
6,49,294,8.17,0.24,0.63,1.42,71,186,50,0
6,32,192,5.33,0.29,0.7,1.37,56,134,41,0
7,37,259,5.29,0.24,0.71,1.34,63,184,47,0
6,19,114,3.17,0.25,0.96,1.16,29,109,25,0
6,28,168,4.67,0.29,0.88,1.29,49,147,38,0
6,12,72,2,0.32,0.65,2.09,23,47,11,0
4,28,112,7,0.46,1,1.27,51,112,40,0
14,29,406,2.07,0.14,0.5,1.63,57,204,35,0
10,12,120,1.2,0.18,0.39,2.2,22,47,10,0
9,16,144,1.78,0.16,0.5,1.92,23,72,12,0
9,16,144,1.78,0.21,0.54,2.14,30,78,14,0
8,11,88,1.38,0.16,0.48,1.75,14,42,8,0
7,27,189,3.86,0.16,0.4,2.58,31,75,12,0
6,6,36,1,0.31,0.56,3.67,11,20,3,0
6,13,78,2.17,0.3,0.9,1.64,23,70,14,0
7,41,287,5.86,0.21,0.65,1.36,60,187,44,0
7,41,287,5.86,0.22,0.76,1.47,63,217,43,0
6,7,42,1.17,0.41,0.83,1.89,17,35,9,0
6,13,78,2.17,0.3,0.87,1.44,23,68,16,0
6,41,246,6.83,0.23,0.93,1.3,57,228,44,0
6,40,240,6.67,0.22,0.98,1.26,53,236,42,0
6,7,42,1.17,0.31,0.79,1.86,13,33,7,0
4,12,48,3,0.15,1,1,7,48,7,0
7,41,287,5.86,0.21,0.86,1.33,61,247,46,0
6,40,240,6.67,0.31,1,1.27,75,239,59,0
1,12,12,12,0.58,1,1.75,7,12,4,0
6,11,66,1.83,0.33,0.8,1.69,22,53,13,0
4,12,48,3,0.29,1,1.4,14,48,10,0
6,41,246,6.83,0.22,0.85,1.2,55,209,46,0
7,40,280,5.71,0.23,0.69,1.28,64,192,50,0
9,23,207,2.56,0.21,0.51,1.57,44,105,28,0
9,23,207,2.56,0.25,0.57,1.82,51,118,28,0
8,17,136,2.13,0.27,0.57,1.71,36,77,21,0
7,37,259,5.29,0.3,0.69,1.81,78,179,43,0
7,54,378,7.71,0.27,0.62,1.42,101,234,71,0
5,32,160,6.4,0.43,0.99,1.47,69,158,47,0
5,13,65,2.6,0.42,0.94,1.69,27,61,16,0
6,17,102,2.83,0.26,0.75,1.18,26,76,22,0
6,13,78,2.17,0.31,0.87,1.6,24,68,15,0
6,14,84,2.33,0.27,0.89,1.64,23,75,14,0
6,14,84,2.33,0.27,0.93,1.28,23,78,18,0
6,17,102,2.83,0.38,0.95,1.63,39,97,24,0
5,13,65,2.6,0.26,0.69,1.42,17,45,12,0
5,13,65,2.6,0.25,0.83,1.33,16,54,12,0
4,14,56,3.5,0.27,0.73,1.67,15,41,9,0
6,24,144,4,0.26,0.77,1.42,37,111,26,0
6,13,78,2.17,0.28,0.94,1.57,22,73,14,0
7,41,287,5.86,0.19,0.64,1.51,53,183,35,0
7,41,287,5.86,0.23,0.78,1.48,65,225,44,0
10,12,120,1.2,0.23,0.56,2.7,27,67,10,0
9,21,189,2.33,0.18,0.51,1.65,33,97,20,0
9,15,135,1.67,0.18,0.56,1.6,24,75,15,0
9,17,153,1.89,0.18,0.53,1.75,28,81,16,0
10,19,190,1.9,0.14,0.33,3,27,62,9,0
10,12,120,1.2,0.14,0.32,2.83,17,38,6,0
8,16,128,2,0.24,0.6,1.94,31,77,16,0
7,16,112,2.29,0.25,0.53,2,28,59,14,0
3,9,27,3,0.3,1,1.33,8,27,6,0
10,58,580,5.8,0.08,0.22,1.62,47,130,29,0
7,182,1274,26,0.2,0.62,1.27,259,790,204,0
9,73,657,8.11,0.17,0.43,1.44,114,285,79,0
9,107,963,11.89,0.2,0.68,1.42,196,658,138,0
9,18,162,2,0.28,0.72,1.67,45,116,27,0
7,125,875,17.86,0.27,0.86,1.4,236,751,168,0
10,53,530,5.3,0.22,0.78,1.44,114,414,79,0
8,43,344,5.38,0.21,0.72,1.4,73,248,52,0
7,8,56,1.14,0.38,0.96,1.62,21,54,13,0
8,30,240,3.75,0.23,0.83,1.24,56,200,45,0
6,59,354,9.83,0.27,0.69,1.27,95,245,75,0
6,7,42,1.17,0.26,0.79,1.83,11,33,6,0
5,17,85,3.4,0.4,0.97,1.31,34,82,26,0
5,3,15,0.6,0.6,1,4.5,9,15,2,0
7,6,42,0.86,0.48,0.88,1.82,20,37,11,0
7,33,231,4.71,0.34,0.74,1.49,79,171,53,0
7,19,133,2.71,0.41,1,1.69,54,133,32,0
7,17,119,2.43,0.4,0.78,1.81,47,93,26,0
7,16,112,2.29,0.3,0.7,1.36,34,78,25,0
9,19,171,2.11,0.27,0.64,1.35,46,110,34,0
7,18,126,2.57,0.27,0.71,1.36,34,90,25,0
6,6,36,1,0.36,0.78,1.63,13,28,8,0
5,11,55,2.2,0.35,0.87,1.46,19,48,13,0
5,16,80,3.2,0.43,1,1.36,34,80,25,0
5,8,40,1.6,0.6,0.98,2.18,24,39,11,0
7,29,203,4.14,0.29,0.67,1.71,58,136,34,0
9,21,189,2.33,0.24,0.76,1.31,46,143,35,0
9,46,414,5.11,0.24,0.74,1.47,100,305,68,0
9,8,72,0.89,0.26,1,1.27,19,72,15,0
9,55,495,6.11,0.25,0.81,1.43,124,400,87,0
8,23,184,2.88,0.28,0.83,1.7,51,153,30,0
7,49,343,7,0.32,0.74,1.54,109,252,71,0
5,17,85,3.4,0.41,0.94,1.75,35,80,20,0
5,3,15,0.6,0.6,0.87,4.5,9,13,2,0
8,26,208,3.25,0.25,0.81,1.37,52,168,38,0
8,27,216,3.38,0.21,0.85,1.45,45,184,31,0
7,14,98,2,0.33,1,1.6,32,98,20,0
7,18,126,2.57,0.21,0.65,2.17,26,82,12,0
7,9,63,1.29,0.35,0.91,2.2,22,57,10,0
7,4,28,0.57,0.29,0.96,8,8,27,1,0
7,14,98,2,0.3,0.9,1.61,29,88,18,0
7,19,133,2.71,0.33,0.77,1.42,44,102,31,0
8,27,216,3.38,0.27,0.76,1.29,58,165,45,0
7,4,28,0.57,0.32,1,3,9,28,3,0
7,38,266,5.43,0.3,0.85,1.45,80,226,55,0
7,33,231,4.71,0.3,0.85,1.44,69,196,48,0
7,9,63,1.29,0.37,0.86,1.77,23,54,13,0
7,6,42,0.86,0.45,1,1.9,19,42,10,0
7,30,210,4.29,0.35,0.79,1.54,74,166,48,0
7,8,56,1.14,0.29,0.73,1.78,16,41,9,0
9,46,414,5.11,0.24,0.58,1.43,100,238,70,0
9,220,1980,24.44,0.23,0.76,1.44,456,1501,316,0
8,38,304,4.75,0.25,0.73,1.38,76,222,55,0
9,251,2259,27.89,0.19,0.67,1.33,423,1517,317,0
10,151,1510,15.1,0.19,0.77,1.48,291,1162,197,0
7,29,203,4.14,0.31,0.84,1.48,62,170,42,0
7,13,91,1.86,0.26,0.65,1.41,24,59,17,0
7,54,378,7.71,0.25,0.61,1.39,96,230,69,0
7,7,49,1,0.41,0.86,2.22,20,42,9,0
7,11,77,1.57,0.31,0.84,1.5,24,65,16,0
9,49,441,5.44,0.27,0.74,1.6,117,328,73,0
7,27,189,3.86,0.28,0.95,1.33,53,179,40,0
7,21,147,3,0.35,0.94,1.63,52,138,32,0
7,19,133,2.71,0.35,1,1.44,46,133,32,0
8,41,328,5.13,0.23,0.53,1.55,76,173,49,0
8,63,504,7.88,0.26,0.69,1.52,129,350,85,0
8,47,376,5.88,0.22,0.7,1.26,83,264,66,0
9,56,504,6.22,0.21,0.6,1.26,106,304,84,0
9,22,198,2.44,0.19,0.7,1.31,38,138,29,0
9,5,45,0.56,0.24,0.87,2.2,11,39,5,0
6,22,132,3.67,0.33,1,1.3,43,132,33,0
7,16,112,2.29,0.26,0.71,1.38,29,79,21,0
8,81,648,10.13,0.22,0.59,1.29,143,383,111,0
5,15,75,3,0.36,0.93,1.35,27,70,20,0
5,5,25,1,0.44,1,1.57,11,25,7,0
9,135,1215,15,0.25,0.63,1.56,302,761,193,0
7,21,147,3,0.34,0.85,1.35,50,125,37,0
7,87,609,12.43,0.23,0.59,1.27,141,359,111,0
7,8,56,1.14,0.38,1,1.62,21,56,13,0
7,35,245,5,0.31,1,1.55,76,245,49,0
7,14,98,2,0.39,0.85,1.65,38,83,23,0
7,11,77,1.57,0.36,0.92,1.75,28,71,16,0
7,13,91,1.86,0.3,0.84,1.69,27,76,16,0
7,9,63,1.29,0.32,0.81,1.54,20,51,13,0
7,41,287,5.86,0.35,0.78,1.55,99,223,64,0
7,46,322,6.57,0.35,1,1.46,114,322,78,0
7,20,140,2.86,0.35,0.76,1.58,49,106,31,0
5,14,70,2.8,0.41,0.94,1.38,29,66,21,0
10,262,2620,26.2,0.18,0.61,1.36,469,1587,344,0
10,49,490,4.9,0.2,0.75,1.26,96,368,76,0
7,21,147,3,0.33,0.73,1.41,48,107,34,0
9,49,441,5.44,0.23,0.69,1.46,102,302,70,0
7,23,161,3.29,0.25,0.94,1.21,40,152,33,0
7,5,35,0.71,0.26,0.57,2.25,9,20,4,0
9,37,333,4.11,0.21,0.71,1.54,71,235,46,0
6,17,102,2.83,0.28,0.82,1.33,28,84,21,0
6,11,66,1.83,0.3,0.71,1.54,20,47,13,0
6,6,36,1,0.42,0.94,1.5,15,34,10,0
9,214,1926,23.78,0.23,0.75,1.44,443,1440,307,0
7,43,301,6.14,0.25,0.95,1.32,74,285,56,0
9,56,504,6.22,0.2,0.62,1.24,99,311,80,0
7,11,77,1.57,0.31,0.99,1.2,24,76,20,0
7,33,231,4.71,0.34,0.85,1.98,79,196,40,0
8,23,184,2.88,0.31,0.88,1.84,57,162,31,0
7,23,161,3.29,0.33,1,1.39,53,161,38,0
7,11,77,1.57,0.35,0.92,1.59,27,71,17,0
7,20,140,2.86,0.36,0.87,1.46,51,122,35,0
7,49,343,7,0.3,0.72,1.34,103,247,77,0
10,38,380,3.8,0.2,0.55,1.48,74,209,50,0
7,15,105,2.14,0.31,1,1.57,33,105,21,0
7,66,462,9.43,0.29,0.92,1.46,136,427,93,0
9,54,486,6,0.27,0.85,1.49,131,414,88,0
9,49,441,5.44,0.27,0.79,1.38,120,349,87,0
8,11,88,1.38,0.25,0.83,1.29,22,73,17,0
7,36,252,5.14,0.37,0.96,1.67,92,242,55,0
7,29,203,4.14,0.36,0.94,1.4,73,190,52,0
7,11,77,1.57,0.35,0.96,1.35,27,74,20,0
7,26,182,3.71,0.35,1,1.36,64,182,47,0
7,9,63,1.29,0.29,0.97,1.2,18,61,15,0
7,31,217,4.43,0.28,0.79,1.25,60,171,48,0
7,9,63,1.29,0.38,0.95,1.85,24,60,13,0
8,27,216,3.38,0.24,0.69,1.31,51,148,39,0
8,4,32,0.5,0.38,1,2.4,12,32,5,0
8,5,40,0.63,0.38,0.95,1.67,15,38,9,0
5,5,25,1,0.52,1,2.17,13,25,6,0
7,15,105,2.14,0.23,0.98,1.41,24,103,17,0
7,37,259,5.29,0.31,1,1.46,79,259,54,0
7,9,63,1.29,0.3,0.91,1.46,19,57,13,0
7,11,77,1.57,0.36,1,1.33,28,77,21,0
7,19,133,2.71,0.36,0.92,1.5,48,122,32,0
7,8,56,1.14,0.36,0.89,2.22,20,50,9,0
9,55,495,6.11,0.26,0.7,1.47,128,346,87,0
7,29,203,4.14,0.37,0.95,2,74,192,37,0
7,4,28,0.57,0.25,0.86,2.33,7,24,3,0
7,14,98,2,0.34,0.98,1.83,33,96,18,0
7,17,119,2.43,0.29,0.92,1.31,34,109,26,0
7,38,266,5.43,0.23,0.64,1.4,60,170,43,0
8,23,184,2.88,0.24,0.55,1.76,44,102,25,0
9,41,369,4.56,0.24,0.66,1.32,90,244,68,0
6,33,198,5.5,0.27,0.85,1.39,53,168,38,0
6,4,24,0.67,0.46,1,2.2,11,24,5,0
6,19,114,3.17,0.36,0.71,1.58,41,81,26,0
6,49,294,8.17,0.29,0.69,1.38,84,204,61,0
7,13,91,1.86,0.3,0.86,1.17,27,78,23,0
7,13,91,1.86,0.37,0.98,1.79,34,89,19,0
7,30,210,4.29,0.31,0.87,1.64,64,183,39,0
7,14,98,2,0.38,1,1.95,37,98,19,0
7,14,98,2,0.34,0.79,1.38,33,77,24,0
7,18,126,2.57,0.37,0.97,2,46,122,23,0
7,7,49,1,0.25,1,1.71,12,49,7,0
7,26,182,3.71,0.27,0.93,1.23,49,169,40,0
6,17,102,2.83,0.32,1,1.32,33,102,25,0
6,9,54,1.5,0.3,0.8,1.23,16,43,13,0
6,26,156,4.33,0.34,0.97,1.33,53,152,40,0
5,5,25,1,0.36,1,1.29,9,25,7,0
9,48,432,5.33,0.27,0.69,1.42,118,296,83,0
7,31,217,4.43,0.31,0.85,1.58,68,185,43,0
7,42,294,6,0.33,0.84,1.46,98,248,67,0
7,46,322,6.57,0.3,0.75,1.53,98,240,64,0
5,11,55,2.2,0.46,1,1.67,25,55,15,0
9,21,189,2.33,0.21,0.78,1.22,39,147,32,0
9,58,522,6.44,0.2,0.53,1.34,106,277,79,0
9,49,441,5.44,0.27,0.65,1.36,117,288,86,0
9,8,72,0.89,0.22,0.74,1.78,16,53,9,0
9,22,198,2.44,0.23,0.93,1.61,45,185,28,0
7,32,224,4.57,0.23,0.8,1.3,52,180,40,0
9,19,171,2.11,0.22,0.67,1.31,38,115,29,0
6,18,108,3,0.31,0.79,1.32,33,85,25,0
7,15,105,2.14,0.33,0.84,1.46,35,88,24,0
7,16,112,2.29,0.3,0.96,1.13,34,107,30,0
9,32,288,3.56,0.24,0.91,1.5,69,263,46,0
7,56,392,8,0.23,0.6,1.25,89,236,71,0
8,16,128,2,0.23,0.92,1.58,30,118,19,0
6,7,42,1.17,0.26,0.79,1.38,11,33,8,0
6,33,198,5.5,0.25,0.81,1.2,49,161,41,0
6,10,60,1.67,0.33,0.75,1.54,20,45,13,0
6,25,150,4.17,0.27,0.79,1.17,41,118,35,0
9,19,171,2.11,0.25,0.98,1.34,43,167,32,0
9,29,261,3.22,0.23,0.89,1.39,61,232,44,0
9,49,441,5.44,0.25,0.72,1.51,109,318,72,0
7,13,91,1.86,0.36,0.93,2.2,33,85,15,0
8,57,456,7.13,0.27,0.8,1.45,122,364,84,0
8,54,432,6.75,0.28,0.78,1.37,119,336,87,0
8,11,88,1.38,0.32,1,1.4,28,88,20,0
7,24,168,3.43,0.27,0.66,1.48,46,111,31,0
7,38,266,5.43,0.26,0.69,1.5,69,183,46,0
9,23,207,2.56,0.22,0.82,1.35,46,169,34,0
9,49,441,5.44,0.22,0.69,1.27,98,303,77,0
7,43,301,6.14,0.25,0.81,1.29,75,243,58,0
7,8,56,1.14,0.36,0.8,2,20,45,10,0
7,19,133,2.71,0.4,0.98,1.77,53,130,30,0
5,7,35,1.4,0.43,0.97,1.36,15,34,11,0
5,6,30,1.2,0.3,1,1.8,9,30,5,0
10,262,2620,26.2,0.19,0.6,1.32,499,1575,377,0
7,17,119,2.43,0.35,0.79,1.56,42,94,27,0
7,9,63,1.29,0.35,0.75,1.83,22,47,12,0
7,40,280,5.71,0.34,0.97,1.57,94,272,60,0
7,48,336,6.86,0.33,0.82,1.44,111,276,77,0
8,25,200,3.13,0.29,0.88,1.36,57,176,42,0
7,13,91,1.86,0.4,1,1.33,36,91,27,0
7,16,112,2.29,0.34,1,1.41,38,112,27,0
7,38,266,5.43,0.25,0.96,1.32,66,254,50,0
5,7,35,1.4,0.46,1,2,16,35,8,0
10,9,90,0.9,0.22,1,1.25,20,90,16,0
10,47,470,4.7,0.2,0.78,1.29,93,367,72,0
8,16,128,2,0.26,0.95,1.18,33,121,28,0
8,6,48,0.75,0.31,0.81,1.88,15,39,8,0
7,26,182,3.71,0.3,0.91,1.53,55,166,36,0
9,65,585,7.22,0.22,0.79,1.35,130,460,96,0
7,18,126,2.57,0.27,0.83,1.31,34,104,26,0
8,21,168,2.63,0.23,0.64,1.3,39,108,30,0
5,13,65,2.6,0.4,1,1.18,26,65,22,0
8,93,744,11.63,0.19,0.54,1.24,138,400,111,0
7,21,147,3,0.29,0.81,1.34,43,119,32,0
7,27,189,3.86,0.08,0.18,2.5,15,33,6,0
7,44,308,6.29,0.22,0.73,1.26,67,226,53,0
7,19,133,2.71,0.25,0.62,1.5,33,83,22,0
7,24,168,3.43,0.23,0.85,1.22,39,143,32,0
7,39,273,5.57,0.25,0.85,1.33,69,233,52,0
7,11,77,1.57,0.33,0.94,1.39,25,72,18,0
7,15,105,2.14,0.23,0.89,1.6,24,93,15,0
7,13,91,1.86,0.36,1,1.94,33,91,17,0
7,4,28,0.57,0.29,1,2,8,28,4,0
7,18,126,2.57,0.37,0.95,1.53,46,120,30,0
7,13,91,1.86,0.33,0.84,1.43,30,76,21,0
7,40,280,5.71,0.34,0.78,1.47,94,219,64,0
9,47,423,5.22,0.28,0.77,1.53,118,327,77,0
7,7,49,1,0.35,0.98,2.13,17,48,8,0
7,11,77,1.57,0.4,0.97,1.48,31,75,21,0
9,30,270,3.33,0.27,0.8,1.4,73,215,52,0
7,20,140,2.86,0.26,0.88,1.13,36,123,32,0
7,11,77,1.57,0.36,0.73,1.56,28,56,18,0
7,23,161,3.29,0.33,0.85,1.66,53,136,32,0
7,9,63,1.29,0.33,0.95,1.4,21,60,15,0
7,13,91,1.86,0.31,0.93,1.65,28,85,17,0
7,19,133,2.71,0.29,0.67,1.36,38,89,28,0
5,28,140,5.6,0.31,0.81,1.3,43,114,33,0
5,32,160,6.4,0.35,0.86,1.33,56,138,42,0
5,24,120,4.8,0.38,0.95,1.45,45,114,31,0
5,19,95,3.8,0.44,0.94,1.5,42,89,28,0
9,54,486,6,0.19,0.74,1.24,93,360,75,0
9,39,351,4.33,0.24,0.62,1.53,84,219,55,0
7,57,399,8.14,0.27,0.66,1.3,109,263,84,0
7,10,70,1.43,0.33,1,1.77,23,70,13,0
7,32,224,4.57,0.28,0.83,1.41,62,186,44,0
6,6,36,1,0.36,1,1.44,13,36,9,0
6,21,126,3.5,0.35,1,1.33,44,126,33,0
6,7,42,1.17,0.36,0.76,2.14,15,32,7,0
7,5,35,0.71,0.37,0.83,1.86,13,29,7,0
7,13,91,1.86,0.32,0.85,1.61,29,77,18,0
7,9,63,1.29,0.38,0.86,2,24,54,12,0
7,35,245,5,0.3,0.94,1.48,74,230,50,0
7,14,98,2,0.36,0.97,1.52,35,95,23,0
7,11,77,1.57,0.39,0.79,1.58,30,61,19,0
7,20,140,2.86,0.38,1,1.61,53,140,33,0
7,31,217,4.43,0.32,0.84,1.35,69,182,51,0
7,23,161,3.29,0.29,0.68,1.59,46,109,29,0
